id|fecha_relevamiento|existe_trab_alum|antiguedad|empresa|sector|facilidad_est_emp|facilidad_est_inst|alu_trab_ocup|hora_sem_trab_alum|alu_trab_tarea|alu_trab_hace|rel_trab_carrera|alu_trab_desjub|alu_trab_fami|remuneracion|
8218|08/03/2021|Trabajó al menos una hora|0||COMERCIO AL POR MAYOR Y AL POR MENOR, REPARACIÓN DE RODADOS, EFECTOS PERSONALES Y ENSERES DOMÉSTICOS|||Temporaria|Hasta 10 horas|comercio|Pasante|Sin relación|N|S|S|
7872|12/03/2021|No trabajó y no buscó trabajo en los últimos 30 días|||||||||||N|N|N|
6957|02/05/2018|Trabajó al menos una hora||||||Permanente|35 o más horas|DOCENTE - SECRETARIA - NIÑERA|Obrero o empleado|Total|N|N|N|
7894|15/04/2021|No trabajó y no buscó trabajo en los últimos 30 días|||||||||||N|N|N|
7688|19/04/2021|No esta pensando en trabajar|||||||||||N|N|N|
6657|08/07/2021|No trabajó y no buscó trabajo en los últimos 30 días|||||||||||N|N|N|
7281|13/08/2021|No esta pensando en trabajar|||||||||||N|N|N|
6587|24/08/2021|No esta pensando en trabajar|||||||||||N|N|N|
5814|15/09/2021|Trabajó al menos una hora|0|||||Permanente|35 o más horas|Desarrollo de Software|Obrero o empleado|Total|S|N|S|
4807|13/10/2021|Trabajó al menos una hora|4|Q4Tech Argentina|SERVICIO DE TRANSPORTE, DE ALMACENAMIENTO Y DE COMUNICACIONES|||Permanente|Mas de 20 y menos de 35 horas|Asistente de Customer Manager|Obrero o empleado|Total|S|N|S|
5649|02/11/2021|Trabajó al menos una hora|2|||||Permanente|35 o más horas|desarrollador de software|Obrero o empleado|Total|S|N|S|
7452|04/11/2021|No esta pensando en trabajar|||||||||||N|N|N|
8449|16/11/2021|No esta pensando en trabajar|||||||||Obrero o empleado|||||
6386|07/01/2022|No esta pensando en trabajar||||||||||||||
7686|20/01/2022|Trabajó al menos una hora|1|||||Temporaria|Hasta 10 horas|Atención al cliente en kiosco.|Pasante|Sin relación|N|S|S|
7854|31/01/2022|No esta pensando en trabajar|||||||||||N|N|N|
7419|02/02/2022|No trabajó y no buscó trabajo en los últimos 30 días|||||||||||N|N|N|
8156|02/02/2022|No esta pensando en trabajar|||||||||||N|N|N|
8054|02/02/2022|No esta pensando en trabajar|||||||||||N|N|N|
8020|03/02/2022|No esta pensando en trabajar|||||||||||N|N|N|
7685|04/02/2022|No esta pensando en trabajar|||||||||||N|N|N|
6939|07/02/2022|Trabajó al menos una hora|1|Creadores de Sitios|SERVICIO DE TRANSPORTE, DE ALMACENAMIENTO Y DE COMUNICACIONES|Mucha|Mucha|Permanente|Hasta 10 horas|Mantenimiento de medios digitales|Obrero o empleado|Total|N|S|S|
6698|07/02/2022|No esta pensando en trabajar|||||||||||N|N|N|
8708|07/02/2022|No trabajó y no buscó trabajo en los últimos 30 días|||||||||||N|N|N|
8831|07/02/2022|No esta pensando en trabajar|||||||||||N|N|N|
8863|07/02/2022|No esta pensando en trabajar|||||||||||N|N|N|
8908|07/02/2022|Trabajó al menos una hora|1||SERVICIOS DE HOTELERÍA Y RESTAURANTES|Poca|Poca|Permanente|35 o más horas|RECEPCIONISTA|Obrero o empleado|Sin relación|N|N|S|
8576|09/02/2022|No trabajó y no buscó trabajo en los últimos 30 días|0||CONSTRUCCIÓN|Mucha|Mucha||||Obrero o empleado|||||
6287|23/02/2022|Trabajó al menos una hora|0|Panza Llena|SERVICIOS DE HOTELERÍA Y RESTAURANTES|Poca|Poca|Temporaria|Mas de 10 y hasta 20 horas|Ayudante de cocina|Pasante|Sin relación|N|N|S|
3685|02/03/2022|Trabajó al menos una hora|5|||||Temporaria|Hasta 10 horas|Profesora particular|Cuenta propia|Total|N|N|S|
7762|04/03/2022|Trabajó al menos una hora|6|TANDILIA S.A.|AGRICULTURA, GANADERÍA, CAZA Y SILVICULTURA|Poca|Mucha|Permanente|35 o más horas|ADMINISTRATIVO CONTABLE|Obrero o empleado|Total|S|N|S|
3701|10/03/2022|Trabajó al menos una hora||||||Permanente|Mas de 10 y hasta 20 horas|docente|Obrero o empleado|Total|S|N|S|
7163|31/03/2022|Trabajó al menos una hora|0|Ferus Distribuidora SRL|INDUSTRIA MANUFACTURERA|Poca|Poca|Permanente|Mas de 20 y menos de 35 horas|Varias|Obrero o empleado|Sin relación|N|S|S|
7265|12/04/2022|No esta pensando en trabajar|||||||||||N|N|N|
6372|29/04/2022|No trabajó y no buscó trabajo en los últimos 30 días||||||||||||||
166|21/06/2022|||||||||||||||
537|21/06/2022|||||||||||||||
5640|21/06/2022|No esta pensando en trabajar|||||||||||N|N|N|
724|21/06/2022|||||||||||||||
27|28/07/2005|Trabajó al menos una hora|||||||Hasta 10 horas|||Total|||1|
29|01/04/2002|||||||||||||||
143|01/04/2002|||||||||||||||
460|01/04/2002|||||||||||||||
599|01/04/2002|||||||||||||||
