id|fecha_relevamiento|alu_cos_est_ap_fam|alu_cos_est_plsoc|alu_cos_est_trab|alu_cos_est_beca|tiene_beca|tiene_beca_univ|tiene_beca_inter|tiene_beca_nacio|alu_beca_prov|alu_beca_muni|alu_beca_otra|alu_beca_tipo_ser|alu_beca_tipo_eco|alu_beca_tipo_inv|alu_beca_eco_tran|alu_beca_eco_efec|alu_beca_eco_foto|alu_beca_eco_habi|alu_beca_eco_come|alu_cos_est_otra|alu_cos_est_espec|
1646|12/03/2004|S||N||N|N|N|N||||||||||||||
1648|10/02/2004|N||S||N|||||||||||||||||
1651|01/04/2002|||||N|||||||||||||||||
1656|10/02/2004|S||S||S|S|N|N||||||||||||||
1657|01/04/2002|||||N|||||||||||||||||
1659|19/03/2003|||||N|||||||||||||||||
1662|13/02/2003|||||N|||||||||||||||||
1663|01/04/2002|||||N|||||||||||||||||
1674|17/02/2004|S||S||N|N|N|N||||||||||||||
1674|07/02/2007|S||S||N|N|N|N||||||||||||||
1680|16/12/2002|||||N|||||||||||||||||
1681|17/02/2005|N||S||N|N|N|N||||||||||||||
1689|01/04/2002|||||N|||||||||||||||||
1693|01/04/2002|||||N|||||||||||||||||
1694|01/04/2002|||||N|||||||||||||||||
1698|01/04/2002|||||N|||||||||||||||||
1698|23/03/2007|N||S||N|N|N|N||||||||||||||
1701|01/04/2002|||||N|||||||||||||||||
1701|18/02/2004|N||S||N|||||||||||||||||
1706|20/02/2004|S||N||N|||||||||||||||||
1708|01/04/2002|||||N|||||||||||||||||
1718|01/04/2002|||||N|||||||||||||||||
1719|01/04/2002|||||N|||||||||||||||||
1720|20/12/2002|||||N|||||||||||||||||
1720|03/03/2004|S||N||N|N|N|N||||||||||||||
1725|01/04/2002|||||N|||||||||||||||||
1731|18/03/2005|S||S||N|N|N|N||||||||||||||
1733|13/12/2002|||||N|||||||||||||||||
1738|01/04/2002|||||N|||||||||||||||||
1741|01/04/2002|||||N|||||||||||||||||
1744|28/02/2005|N||S||N|N|N|N||||||||||||||
1752|02/03/2004|S||S||N|N|N|N||||||||||||||
1756|27/04/2006|S||N||N|N|N|N||||||||||||||
1757|01/04/2002|||||N|||||||||||||||||
1769|26/12/2006|S||S||N|N|N|N||||||||||||||
1769|19/12/2002|||||N|||||||||||||||||
1772|02/03/2006|S||S||N|N|N|N||||||||||||||
1773|01/04/2002|||||N|||||||||||||||||
1774|01/04/2002|||||N|||||||||||||||||
1778|12/06/2007|S||S||N|N|N|N||||||||||||||
1778|05/12/2002|||||N|||||||||||||||||
1778|01/04/2002|||||N|||||||||||||||||
1779|30/08/2005|N||S||N|N|N|N||||||||||||||
1788|20/02/2007|N||S||N|N|N|N||||||||||||||
1798|10/12/2002|||||N|||||||||||||||||
1805|01/04/2002|||||N|||||||||||||||||
1820|14/03/2005|S||N||N|N|N|N||||||||||||||
1821|01/04/2002|||||N|||||||||||||||||
1834|27/11/2002|||||N|||||||||||||||||
1834|24/11/2006|N||S||N|N|N|N||||||||||||||
1834|13/02/2008|N||S||N|N|N|N||||||||||||||
1836|01/04/2002|||||N|||||||||||||||||
1837|25/03/2004|||||N|||||||||||||||||
1840|01/04/2002|||||N|||||||||||||||||
1853|06/02/2004|N||S||N|||||||||||||||||
1859|03/02/2004|S||N||N|||||||||||||||||
1862|16/12/2002|||||N|||||||||||||||||
1863|06/12/2002|||||N|||||||||||||||||
1868|18/12/2002|||||N|||||||||||||||||
1871|29/11/2002|||||N|||||||||||||||||
1872|27/11/2002|||||N|||||||||||||||||
1873|03/02/2004|N||S||N|N|N|N||||||||||||||
1877|16/02/2005|S||N||N|N|N|N||||||||||||||
1879|01/04/2002|||||N|||||||||||||||||
1879|16/03/2005|S||S||N|N|N|N||||||||||||||
1890|06/12/2002|||||N|||||||||||||||||
1890|22/02/2005|S||N||N|N|N|N||||||||||||||
1891|07/02/2004|S||N||N|||||||||||||||||
1900|27/11/2002|||||N|||||||||||||||||
1908|01/04/2002|||||N|||||||||||||||||
1910|06/05/2005|S||N||N|N|N|N||||||||||||||
1914|27/04/2006|S||N||N|N|N|N||||||||||||||
1914|17/02/2004|S||N||N|||||||||||||||||
1917|01/04/2002|||||N|||||||||||||||||
1919|01/04/2002|||||N|||||||||||||||||
1919|03/02/2003|||||N|||||||||||||||||
1920|21/06/2005|N||S||N|N|N|N||||||||||||||
1926|18/08/2006|N||S||N|N|N|N||||||||||||||
1929|01/04/2002|||||N|||||||||||||||||
1934|05/02/2004|S||N||S|S||||||||||||||||
1935|20/02/2004|S||N||N|||||||||||||||||
1935|28/02/2008|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
1937|06/02/2006|S||N||N|N|N|N||||||||||||||
1939|19/02/2008|S||S||N|N|N|N||||||||||||||
1944|17/12/2002|||||N|||||||||||||||||
1946|04/02/2004|S||N||N|||||||||||||||||
1951|04/02/2004|S||N||N|||||||||||||||||
1952|01/04/2002|||||N|||||||||||||||||
1954|13/03/2008|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
1957|17/03/2004|S||N||N|N|N|N||||||||||||||
1959|02/02/2006|N||S||N|N|N|N||||||||||||||
3579|02/02/2006|N||S||N|N|N|N||||||||||||||
1961|04/12/2002|||||N|||||||||||||||||
1962|01/04/2002|||||N|||||||||||||||||
1980|22/02/2005|S||N||S|S|N|N||||||||||||||
1983|01/04/2002|||||N|||||||||||||||||
1983|10/03/2008|N||S||N|N|N|N||||||||||||||
1987|12/02/2004|S||S||N|||||||||||||||||
1989|20/02/2006|N||S||N|N|N|N||||||||||||||
1991|01/04/2002|||||N|||||||||||||||||
1993|01/12/2002|||||N|||||||||||||||||
1996|18/12/2002|||||N|||||||||||||||||
1996|01/04/2002|||||N|||||||||||||||||
1997|01/04/2002|||||N|||||||||||||||||
1999|01/04/2002|||||N|||||||||||||||||
2013|06/04/2004|S||S||N|N|N|N||||||||||||||
2016|24/02/2005|N||S||N|N|N|N||||||||||||||
2016|05/12/2002|||||N|||||||||||||||||
2020|19/02/2007|S||S||N|N|N|N||||||||||||||
2030|03/12/2002|||||N|||||||||||||||||
2032|11/03/2004|S||S||N|N|N|N||||||||||||||
2032|04/03/2001|||||N|||||||||||||||||
2043|08/03/2005|S||N||N|N|N|N||||||||||||||
2045|10/03/2004|S||N||N|N|N|N||||||||||||||
2051|12/02/2003|||||N|||||||||||||||||
2056|03/02/2003|||||N|||||||||||||||||
2057|29/03/2006|S||S||N|N|N|N||||||||||||||
2062|01/04/2002|||||N|||||||||||||||||
2067|01/04/2002|||||N|||||||||||||||||
2070|01/04/2002|||||N|||||||||||||||||
2086|13/12/2002|||||N|||||||||||||||||
2090|01/04/2002|||||N|||||||||||||||||
2090|16/12/2002|||||N|||||||||||||||||
2092|07/02/2007|S||N||N|N|N|N||||||||||||||
2100|12/03/2006|N||S||N|N|N|N||||||||||||||
2103|04/08/2005|S||S||N|N|N|N||||||||||||||
2103|10/03/2008|S|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
2104|07/03/2006|N||S||N|N|N|N||||||||||||||
2105|06/02/2007|S||S||N|N|N|N||||||||||||||
2112|01/04/2002|||||N|||||||||||||||||
2127|12/02/2004|N||S||N|N|N|N||||||||||||||
2138|01/04/2002|||||N|||||||||||||||||
2144|02/03/2005|S||N||N|N|N|N||||||||||||||
2144|06/02/2004|S||N||N|||||||||||||||||
2147|01/04/2002|||||N|||||||||||||||||
2152|01/12/2002|||||N|||||||||||||||||
2153|05/09/2007|S||N||N|N|N|N||||||||||||||
2160|07/02/2005|S||N||N|N|N|N||||||||||||||
2163|10/02/2003|||||N|||||||||||||||||
2166|15/03/2005|S||N||N|N|N|N||||||||||||||
2168|20/04/2004|N||S||S|S|N|N||||||||||||||
2179|18/12/2002|||||N|||||||||||||||||
2181|01/04/2002|||||N|||||||||||||||||
2181|01/02/2007|N||S||N|N|N|N||||||||||||||
2183|01/12/2006|N||S||N|N|N|N||||||||||||||
2185|14/04/2005|S||N||N|N|N|N||||||||||||||
2186|09/03/2007|S||N||N|N|N|N||||||||||||||
2187|05/02/2007|N||S||N|N|N|N||||||||||||||
2188|17/02/2005|S||N||N|N|N|N||||||||||||||
2189|06/02/2006|S||S||N|N|N|N||||||||||||||
2190|13/03/2007|S||N||N|N|N|N||||||||||||||
2193|01/04/2002|||||N|||||||||||||||||
2194|02/03/2006|N||S||N|N|N|N||||||||||||||
2201|13/03/2006|S||S||N|N|N|N||||||||||||||
2202|06/02/2003|||||N|||||||||||||||||
2207|04/05/2006|S||S||N|N|N|N||||||||||||||
2210|22/03/2004|||||N|||||||||||||||||
2210|01/04/2002|||||N|||||||||||||||||
2216|08/03/2004|S||N||N|N|N|N||||||||||||||
2216|07/03/2006|S||S||N|N|N|N||||||||||||||
2218|13/12/2002|||||N|||||||||||||||||
2220|16/03/2004|S||N||N|N|N|N||||||||||||||
2220|01/04/2002|||||N|||||||||||||||||
2222|16/12/2002|||||N|||||||||||||||||
2227|09/03/2004|S||N||N|||||||||||||||||
2228|08/03/2005|N||S||N|N|N|N||||||||||||||
2229|20/08/2007|N||S||N|N|N|N||||||||||||||
2229|01/04/2002|||||N|||||||||||||||||
2234|20/12/2002|||||N|||||||||||||||||
2237|09/12/2002|||||N|||||||||||||||||
2238|11/02/2003|||||N|||||||||||||||||
2254|13/07/2005|S||N||N|N|N|N||||||||||||||
2262|25/03/2004|S||N||N|N|N|N||||||||||||||
2270|16/03/2007|S||S||N|N|N|N||||||||||||||
2275|01/04/2002|||||N|||||||||||||||||
2277|04/03/2008|N||S||N|N|N|N||||||||||||||
2278|02/02/2004|S||N||N|||||||||||||||||
2283|25/03/2004|S||N||N|N|N|N||||||||||||||
2283|01/04/2002|||||N|||||||||||||||||
2284|01/04/2002|||||N|||||||||||||||||
2288|27/03/2003|||||N|||||||||||||||||
2290|25/01/2007|N||S||N|N|N|N||||||||||||||
2296|21/02/2005|S||N||N|N|N|N||||||||||||||
2296|01/04/2002|||||N|||||||||||||||||
2302|07/03/2006|S||S||N|N|N|N||||||||||||||
2305|29/11/2002|||||N|||||||||||||||||
2306|16/03/2004|S||S||N|N|N|N||||||||||||||
2308|21/07/2007|S||S||N|N|N|N||||||||||||||
2312|04/08/2005|S||N||N|N|N|N||||||||||||||
2314|08/03/2006|S||N||N|N|N|N||||||||||||||
2320|07/02/2008|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
2320|09/11/2006|S||N||N|N|N|N||||||||||||||
2324|02/03/2005|N||S||N|N|N|N||||||||||||||
2325|01/04/2002|||||N|||||||||||||||||
2329|01/04/2002|||||N|||||||||||||||||
2334|01/04/2002|||||N|||||||||||||||||
2342|05/08/2006|N||S||N|N|N|N||||||||||||||
2355|01/04/2002|||||N|||||||||||||||||
2359|01/04/2002|||||N|||||||||||||||||
2361|01/04/2002|||||N|||||||||||||||||
2373|01/04/2002|||||N|||||||||||||||||
2379|01/04/2002|||||N|||||||||||||||||
2387|01/04/2002|||||N|||||||||||||||||
2393|06/03/2007|||||N|||||||||||||||||
2410|12/02/2003|||||N|||||||||||||||||
2412|01/04/2002|||||N|||||||||||||||||
2413|17/03/2004|S||N||N|N|N|N||||||||||||||
2426|15/02/2005|S||N||N|N|N|N||||||||||||||
2426|04/02/2008|S||N||N|N|N|N||||||||||||||
2427|04/02/2004|S||N||N|||||||||||||||||
2428|16/12/2002|||||N|||||||||||||||||
2428|17/02/2004|S||N||N|N|N|N||||||||||||||
2429|14/03/2008|S||N||N|N|N|N||||||||||||||
2429|04/03/2004|S||N||N|N|N|N||||||||||||||
2431|27/07/2005|S||N||N|N|N|N||||||||||||||
2433|02/02/2004|S||N||N|N|N|N||||||||||||||
2435|01/04/2002|||||N|||||||||||||||||
2437|03/02/2007|N||S||N|N|N|N||||||||||||||
2438|28/11/2002|||||N|||||||||||||||||
2440|18/12/2002|||||N|||||||||||||||||
2441|08/02/2004|N||S||N|N|N|N||||||||||||||
2441|01/04/2002|||||N|||||||||||||||||
2442|01/04/2002|||||N|||||||||||||||||
2448|01/04/2002|||||N|||||||||||||||||
2450|05/03/2006|N||S||S|S|N|N||||||||||||||
2454|05/02/2007|N||S||N|N|N|N||||||||||||||
2454|01/04/2002|||||N|||||||||||||||||
2458|10/02/2004|S||N||S|S|N|N||||||||||||||
2464|01/03/2003|||||N|||||||||||||||||
2464|11/02/2004|S||N||N|||||||||||||||||
2466|22/03/2007|N||S||N|N|N|N||||||||||||||
2467|18/02/2003|||||N|||||||||||||||||
2471|01/04/2002|||||N|||||||||||||||||
2471|07/04/2008|N||S||N|N|N|N||||||||||||||
