id|fecha_relevamiento|alu_cos_est_ap_fam|alu_cos_est_plsoc|alu_cos_est_trab|alu_cos_est_beca|tiene_beca|tiene_beca_univ|tiene_beca_inter|tiene_beca_nacio|alu_beca_prov|alu_beca_muni|alu_beca_otra|alu_beca_tipo_ser|alu_beca_tipo_eco|alu_beca_tipo_inv|alu_beca_eco_tran|alu_beca_eco_efec|alu_beca_eco_foto|alu_beca_eco_habi|alu_beca_eco_come|alu_cos_est_otra|alu_cos_est_espec|
3811|22/08/2014|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3839|20/04/2017|N|N|S|S|S|N|N|N|N|N|S|N|N|S|N|N|N|N|N|N||
3846|22/02/2018|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3854|10/02/2012|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3880|04/04/2022|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3882|18/04/2006|S||N||N|N|N|N||||||||||||||
3885|19/04/2006|||||N|||||||||||||||||
3891|19/04/2006|||||N|||||||||||||||||
3918|23/03/2011|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3930|10/06/2019|S|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3952|02/02/2015|S|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3963|16/04/2018|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3964|13/03/2008|S||N||N|N|N|N||||||||||||||
3965|10/02/2020|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3967|15/02/2019|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
3997|20/04/2017|N||S||N|N|N|N||||||||||||||
4002|27/04/2006|||||N|||||||||||||||||
4004|30/03/2012|S|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
4027|05/05/2006|||||N|||||||||||||||||
4044|28/02/2019|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
4050|07/10/2014|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
4069|26/03/2013|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
4071|25/02/2009|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
4089|28/02/2011|S|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
4090|22/02/2010|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
4112|22/03/2007|||||N|||||||||||||||||
4115|21/06/2022|N|N|S|S|S|N|N|S|N|N|N|N|S|N|N|N|N|N|N|N||
4120|08/03/2009|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
4121|05/11/2019|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
4127|10/02/2015|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
4130|13/03/2013|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
4133|23/03/2007|||||N|||||||||||||||||
4134|03/02/2009|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
4136|22/03/2007|S||N||N|N|N|N||||||||||||||
4140|14/02/2017|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
4141|13/12/2018|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
4154|23/01/2022|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
4172|26/03/2007|||||N|||||||||||||||||
4173|02/03/2015|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
4190|27/03/2007|||||N|||||||||||||||||
4233|02/05/2007|||||N|||||||||||||||||
4236|20/04/2017|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
4238|22/05/2007|||||N|||||||||||||||||
4248|28/03/2018|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
