id|fecha_relevamiento|existe_trab_alum|antiguedad|empresa|sector|facilidad_est_emp|facilidad_est_inst|alu_trab_ocup|hora_sem_trab_alum|alu_trab_tarea|alu_trab_hace|rel_trab_carrera|alu_trab_desjub|alu_trab_fami|remuneracion|
2793|12/02/2009|No trabajó y no buscó trabajo en los últimos 30 días|||||||||||N|N|N|
2798|12/04/2022|Trabajó al menos una hora||||||Permanente|35 o m¿s horas|Programación Front End|Obrero o empleado|Total|S|N|S|
2801|28/04/2011|Trabajó al menos una hora||||||Permanente|35 o m¿s horas|Consultor de Tecnologias (MSSQL, MS Dynamics NAV, JAVA, C#, BI, MOVILE), Analista/Arquitecto/Desarrollador de Software.|Obrero o empleado|Total|S|N|S|
2805|27/02/2006|Trabajó al menos una hora|||||||Mas de 10 y hasta 20 horas|||Parcial|||1|
2823|18/08/2005|Trabajó al menos una hora||||||||||||||
2845|09/06/2014|||||||||||||||
2852|23/02/2022|Trabajó al menos una hora||||||Permanente|35 o m¿s horas|Desarrollo de sistemas|Obrero o empleado|Total|S|N|S|
2858|10/01/2016|Trabajó al menos una hora||||||Permanente|35 o m¿s horas|Programador Java|Obrero o empleado|Total|S|N|S|
2863|03/02/2004|Trabajó al menos una hora|||||||Hasta 10 horas|||Sin relación|||1|
2874|08/02/2004|No esta pensando en trabajar||||||||||||||
2879|30/09/2016|Trabajó al menos una hora||||||Permanente|35 o m¿s horas|AEM Architect Consulting|Obrero o empleado|Total|N|N|S|
2928|04/03/2008|Trabajó al menos una hora|||||||Hasta 10 horas|||Sin relación|||1|
2932|18/04/2002|||||||||||||||
2955|18/04/2002|||||||||||||||
2963|24/08/2007|No esta pensando en trabajar||||||||||||||
2967|24/04/2002|||||||||||||||
2977|30/04/2002|||||||||||||||
3002|20/03/2018|Trabajó al menos una hora|6|||||Permanente|35 o m¿s horas|Desarrollador java|Obrero o empleado|Total|S|N|S|
3008|12/03/2004|Trabajó al menos una hora|||||||Mas de 20 y menos de 35 horas|||Sin relación|||1|
3016|14/06/2007|No esta pensando en trabajar||||||||||||||
3034|21/02/2005|No esta pensando en trabajar||||||||||||||
3052|21/02/2005|No esta pensando en trabajar||||||||||||||
3087|09/04/2003|||||||||||||||
3102|10/04/2003|Trabajó al menos una hora|||||||Mas de 20 y menos de 35 horas|||||||
3108|30/11/2012|No esta pensando en trabajar|||||||||||N|N|N|
3142|01/03/2004|No esta pensando en trabajar||||||||||||||
3160|06/02/2009|No esta pensando en trabajar|||||||||||N|N|N|
3164|16/04/2003|||||||||||||||
3177|29/06/2015|Trabajó al menos una hora||||||Permanente|Mas de 20 y menos de 35 horas|desarrollo web|Obrero o empleado|Total|N|N|S|
3178|21/02/2015|Trabajó al menos una hora||||||Permanente|35 o m¿s horas|Desarrollador|Cuenta propia|Total|S|N|S|
3186|16/04/2003|||||||||||||||
