id|fecha_relevamiento|practica_deportes|hace_dep_gim_priv|hace_dep_univ|hace_dep_partic|hace_dep_otros|prac_dep_basquet|prac_dep_natacion|prac_dep_futbol|prac_dep_gimnasia|prac_dep_tenis|prac_dep_handball|prac_dep_voley|prac_dep_otros|
3681|17/02/2020|S|N|N|S|N|N|N|N|N|N|N|N|S|
3685|02/03/2022|S|N|S|N|S|N|N|N|N|N|N|N|S|
3692|30/03/2005||||||||||||||
3699|15/02/2022|S|N|N|S|N|N|N|S|N|N|N|N|S|
3701|10/03/2022|S|N|N|S|N|N|N|N|S|N|N|N|N|
3721|21/06/2022|S|N|S|N|N|N|N|N|S|N|N|N|N|
3731|14/09/2013|S|N|N|S|N|N|N|N|N|N|N|N|S|
3739|17/12/2010|S|S|S|S|S|S|S|S|S|S|S|S|S|
3756|18/02/2016|S|S|N|N|N|N|N|N|N|N|N|N|N|
3757|22/03/2021|S|S|N|N|N|N|N|N|S|N|N|N|S|
3758|08/04/2005||||||||||||||
3759|08/04/2005|N|||||||||||||
3785|23/03/2005||||||||||||||
3793|16/02/2008|S|S|||||S|||||||
3811|22/08/2014|S|N|N|S|S|N|N|S|N|N|N|N|S|
3839|20/04/2017|N|N|N|N|N|N|N|N|N|N|N|N|N|
3846|22/02/2018|N|N|N|N|N|N|N|N|N|N|N|N|N|
3854|10/02/2012|S|S|N|N|N|N|N|S|N|N|N|N|S|
3880|04/04/2022|S|S|N|N|N|N|N|N|N|N|N|N|S|
3882|18/04/2006|S|||S||||||S||||
3885|19/04/2006||||||||||||||
3891|19/04/2006||||||||||||||
3918|23/03/2011|N|N|N|N|N|N|N|N|N|N|N|N|N|
3930|10/06/2019|S|N|N|N|N|N|N|N|S|N|N|N|N|
3952|02/02/2015|N|N|N|N|N|N|N|N|N|N|N|N|N|
3963|16/04/2018|S|N|S|N|S|S|N|S|N|N|N|N|N|
3964|13/03/2008|N|||||||||||||
3965|10/02/2020|S|N|N|S|N|N|S|N|N|N|N|N|S|
3967|15/02/2019|N|N|N|N|N|N|N|N|N|N|N|N|N|
3997|20/04/2017|S||||S|||||S||||
4002|27/04/2006||||||||||||||
4004|30/03/2012|S|S|N|N|S|N|N|N|N|N|N|N|S|
4027|05/05/2006||||||||||||||
4044|28/02/2019|N|N|N|N|N|N|N|N|N|N|N|N|N|
